episode,game,exploration,explored,safe,MA_explored,MA_safe
0,[0]_forecast_horizon=[10],99.0,-155.0,-9.8,-155.0,-9.8
1,[1]_forecast_horizon=[23],98.0,-273.8,-86.1,-214.4,-47.9
2,[2]_forecast_horizon=[23],97.0,-210.9,-36.5,-210.9,-36.5
3,[3]_forecast_horizon=[29],96.1,-194.8,-31.5,-202.8,-34.0
4,[4]_forecast_horizon=[25],95.1,-251.5,-36.4,-210.9,-36.4
5,[5]_forecast_horizon=[26],94.1,-531.4,-42.0,-231.2,-36.5
6,[6]_forecast_horizon=[29],93.2,-418.3,22.6,-251.5,-36.4
7,[7]_forecast_horizon=[10],92.3,-111.3,6.1,-231.2,-34.0
8,[8]_forecast_horizon=[23],91.4,-316.2,-24.4,-251.5,-31.5
9,[9]_forecast_horizon=[15],90.4,-522.8,-71.4,-262.6,-34.0
10,[10]_forecast_horizon=[18],89.5,-171.0,-25.7,-251.5,-31.5
11,[11]_forecast_horizon=[13],88.6,-19.7,37.2,-231.2,-28.6
12,[12]_forecast_horizon=[10],87.8,-126.7,21.9,-210.9,-25.7
13,[13]_forecast_horizon=[22],86.9,-77.2,16.5,-202.8,-25.0
14,[14]_forecast_horizon=[12],86.0,-169.1,40.7,-194.8,-24.4
15,[15]_forecast_horizon=[27],85.1,-165.7,9.0,-182.9,-17.1
16,[16]_forecast_horizon=[14],84.3,-15.3,59.3,-171.0,-9.8
17,[17]_forecast_horizon=[18],83.5,-127.7,22.5,-170.1,-1.8
18,[18]_forecast_horizon=[17],82.6,-146.0,37.1,-169.1,6.1
19,[19]_forecast_horizon=[18],81.8,-78.5,10.8,-167.4,7.5
20,[20]_forecast_horizon=[25],81.0,-115.7,54.6,-165.7,9.0
21,[21]_forecast_horizon=[18],80.2,-64.9,21.7,-160.4,9.9
22,[22]_forecast_horizon=[11],79.4,-233.5,19.2,-165.7,10.8
23,[23]_forecast_horizon=[15],78.6,-186.8,63.8,-167.4,13.6
24,[24]_forecast_horizon=[18],77.8,-95.0,51.1,-165.7,16.5
25,[25]_forecast_horizon=[12],77.0,-19.6,14.8,-160.4,15.7
26,[26]_forecast_horizon=[12],76.2,-102.2,19.2,-155.0,16.5
27,[27]_forecast_horizon=[25],75.5,-55.2,51.4,-150.5,17.9
28,[28]_forecast_horizon=[28],74.7,-118.3,50.3,-146.0,19.2
29,[29]_forecast_horizon=[23],74.0,-603.8,-13.9,-150.5,17.9
30,[30]_forecast_horizon=[28],73.2,-863.5,-33.5,-155.0,16.5
31,[31]_forecast_horizon=[14],72.5,-17.5,-1.7,-150.5,15.7
32,[32]_forecast_horizon=[15],71.8,-85.7,24.8,-146.0,16.5
33,[33]_forecast_horizon=[10],71.1,-84.2,8.3,-136.9,15.7
34,[34]_forecast_horizon=[18],70.3,-102.4,68.2,-127.7,16.5
35,[35]_forecast_horizon=[22],69.6,-106.7,37.9,-127.2,17.9
36,[36]_forecast_horizon=[14],68.9,-145.7,22.1,-127.7,19.2
37,[37]_forecast_horizon=[19],68.3,-110.2,22.2,-127.2,19.2
38,[38]_forecast_horizon=[27],67.6,-310.9,-6.6,-127.7,19.2
39,[39]_forecast_horizon=[24],66.9,-252.0,72.1,-136.7,19.2
40,[40]_forecast_horizon=[15],66.2,-119.9,12.9,-127.7,19.2
41,[41]_forecast_horizon=[19],65.6,-50.5,48.7,-127.2,19.2
42,[42]_forecast_horizon=[11],64.9,-48.5,41.7,-126.7,19.2
43,[43]_forecast_horizon=[15],64.3,-266.5,8.3,-127.2,19.2
44,[44]_forecast_horizon=[19],63.6,-173.6,37.8,-127.7,19.2
45,[45]_forecast_horizon=[27],63.0,-322.7,27.1,-136.7,20.5
46,[46]_forecast_horizon=[17],62.4,-60.9,36.2,-127.7,21.7
47,[47]_forecast_horizon=[28],61.7,-1232.1,-30.1,-136.7,20.5
48,[48]_forecast_horizon=[14],61.1,-11.9,90.3,-127.7,21.7
49,[49]_forecast_horizon=[17],60.5,-29.6,52.3,-127.2,21.8
50,[50]_forecast_horizon=[16],59.9,-154.0,58.0,-127.7,21.9
51,[51]_forecast_horizon=[28],59.3,-40.7,25.9,-127.2,22.0
52,[52]_forecast_horizon=[20],58.7,-153.6,32.8,-127.7,22.1
53,[53]_forecast_horizon=[26],58.1,-11.5,53.4,-127.2,22.1
54,[54]_forecast_horizon=[22],57.5,-2.2,65.6,-126.7,22.2
55,[55]_forecast_horizon=[20],57.0,-23.4,64.3,-123.3,22.3
56,[56]_forecast_horizon=[15],56.4,-2.2,39.7,-119.9,22.5
57,[57]_forecast_horizon=[22],55.8,-241.7,14.9,-123.3,22.3
58,[58]_forecast_horizon=[28],55.3,-279.2,-24.7,-126.7,22.2
59,[59]_forecast_horizon=[21],54.7,-133.4,60.5,-127.2,22.3
60,[60]_forecast_horizon=[10],54.2,-197.8,-0.1,-127.7,22.2
61,[61]_forecast_horizon=[11],53.6,-42.6,49.0,-127.2,22.3
62,[62]_forecast_horizon=[18],53.1,-347.5,31.4,-127.7,22.5
63,[63]_forecast_horizon=[24],52.6,-52.7,48.7,-127.2,22.5
64,[64]_forecast_horizon=[26],52.0,-681.0,-40.0,-127.7,22.5
65,[65]_forecast_horizon=[13],51.5,-48.2,30.2,-127.2,22.5
66,[66]_forecast_horizon=[27],51.0,-327.6,45.9,-127.7,22.6
67,[67]_forecast_horizon=[12],50.5,-186.1,25.5,-130.6,23.7
68,[68]_forecast_horizon=[13],50.0,-137.7,21.2,-133.4,22.6
69,[69]_forecast_horizon=[12],49.5,-157.2,53.4,-135.6,23.7
70,[70]_forecast_horizon=[29],49.0,-128.9,5.0,-133.4,22.6
71,[71]_forecast_horizon=[17],48.5,-78.1,24.7,-131.1,23.6
72,[72]_forecast_horizon=[27],48.0,-59.4,78.8,-128.9,24.7
73,[73]_forecast_horizon=[12],47.5,-98.3,43.2,-128.3,24.8
74,[74]_forecast_horizon=[23],47.1,-114.4,25.2,-127.7,24.8
75,[75]_forecast_horizon=[26],46.6,-88.7,67.6,-127.2,25.0
76,[76]_forecast_horizon=[29],46.1,-300.3,-10.7,-127.7,24.8
77,[77]_forecast_horizon=[18],45.7,-228.7,-19.5,-128.3,24.8
78,[78]_forecast_horizon=[21],45.2,-20.4,30.0,-127.7,24.8
79,[79]_forecast_horizon=[10],44.8,-72.8,16.9,-127.2,24.8
80,[80]_forecast_horizon=[11],44.3,-9.7,49.4,-126.7,24.8
81,[81]_forecast_horizon=[14],43.9,-163.9,34.4,-127.2,25.0
82,[82]_forecast_horizon=[26],43.4,-98.4,23.3,-126.7,24.8
83,[83]_forecast_horizon=[18],43.0,-62.6,47.2,-123.3,25.0
84,[84]_forecast_horizon=[29],42.6,-37.6,24.2,-119.9,24.8
85,[85]_forecast_horizon=[11],42.1,-28.3,46.8,-119.1,25.0
86,[86]_forecast_horizon=[25],41.7,-224.7,17.3,-119.9,24.8
87,[87]_forecast_horizon=[23],41.3,-60.1,82.7,-119.1,25.0
88,[88]_forecast_horizon=[19],40.9,-113.4,18.6,-118.3,24.8
89,[89]_forecast_horizon=[25],40.5,-6.3,65.2,-117.0,25.0
90,[90]_forecast_horizon=[25],40.1,-108.0,32.9,-115.7,25.2
91,[91]_forecast_horizon=[14],39.7,-134.3,38.6,-117.0,25.4
92,[92]_forecast_horizon=[20],39.3,-50.4,53.1,-115.7,25.5
93,[93]_forecast_horizon=[15],38.9,37.3,70.0,-115.1,25.7
94,[94]_forecast_horizon=[13],38.5,-36.7,51.7,-114.4,25.9
95,[95]_forecast_horizon=[27],38.1,26.8,64.5,-113.9,26.5
96,[96]_forecast_horizon=[29],37.7,14.2,43.1,-113.4,27.1
97,[97]_forecast_horizon=[15],37.3,-130.1,8.9,-113.9,26.5
98,[98]_forecast_horizon=[13],37.0,11.6,61.0,-113.4,27.1
99,[99]_forecast_horizon=[27],36.6,-481.6,79.7,-113.9,28.6
100,[0]_forecast_horizon=[10],36.2,-78.5,64.8,-112.3,30.1
101,[1]_forecast_horizon=[23],35.9,-62.0,-9.5,-110.8,30.1
102,[2]_forecast_horizon=[23],35.5,-79.7,39.4,-109.1,30.8
103,[3]_forecast_horizon=[29],35.2,-63.4,36.0,-107.3,32.1
104,[4]_forecast_horizon=[25],34.8,-148.6,52.6,-107.3,32.9
105,[5]_forecast_horizon=[26],34.5,-64.1,39.3,-104.5,33.7
106,[6]_forecast_horizon=[29],34.1,-116.1,81.2,-104.5,35.2
107,[7]_forecast_horizon=[10],33.8,-64.1,37.6,-102.3,36.1
108,[8]_forecast_horizon=[23],33.4,-133.4,49.8,-102.3,36.7
109,[9]_forecast_horizon=[15],33.1,-325.6,1.4,-102.3,36.7
110,[10]_forecast_horizon=[18],32.8,-57.7,42.8,-100.3,37.2
111,[11]_forecast_horizon=[13],32.4,22.6,87.8,-100.3,37.3
112,[12]_forecast_horizon=[10],32.1,-51.3,59.5,-98.4,37.7
113,[13]_forecast_horizon=[22],31.8,62.2,88.8,-98.4,37.9
114,[14]_forecast_horizon=[12],31.5,-25.0,47.5,-96.7,37.9
115,[15]_forecast_horizon=[27],31.2,-16.6,70.0,-91.8,38.2
116,[16]_forecast_horizon=[14],30.9,36.7,77.1,-91.8,38.2
117,[17]_forecast_horizon=[18],30.5,29.3,60.9,-87.2,39.0
118,[18]_forecast_horizon=[17],30.2,-16.3,42.1,-84.9,39.3
119,[19]_forecast_horizon=[18],29.9,-23.6,40.8,-84.9,39.5
120,[20]_forecast_horizon=[25],29.6,-24.0,60.6,-82.0,39.5
121,[21]_forecast_horizon=[18],29.3,-37.4,63.8,-82.0,40.2
122,[22]_forecast_horizon=[11],29.0,-92.2,-47.1,-82.0,40.2
123,[23]_forecast_horizon=[15],28.8,-37.9,6.5,-79.1,39.5
124,[24]_forecast_horizon=[18],28.5,41.4,69.7,-78.3,39.5
125,[25]_forecast_horizon=[12],28.2,36.6,73.2,-78.3,40.2
126,[26]_forecast_horizon=[12],27.9,-34.6,70.4,-75.4,41.2
127,[27]_forecast_horizon=[25],27.6,0.0,68.5,-75.4,41.2
128,[28]_forecast_horizon=[28],27.3,12.8,54.4,-68.5,41.2
129,[29]_forecast_horizon=[23],27.1,-210.7,-13.9,-68.5,41.2
130,[30]_forecast_horizon=[28],26.8,-302.1,-4.4,-68.5,41.2
131,[31]_forecast_horizon=[14],26.5,40.7,50.1,-68.5,41.9
132,[32]_forecast_horizon=[15],26.3,-9.3,76.2,-64.1,42.5
133,[33]_forecast_horizon=[10],26.0,22.7,59.7,-63.8,43.0
134,[34]_forecast_horizon=[18],25.7,36.3,75.2,-63.0,43.0
135,[35]_forecast_horizon=[22],25.5,7.1,51.1,-62.3,43.2
136,[36]_forecast_horizon=[14],25.2,-79.3,34.6,-62.3,43.2
137,[37]_forecast_horizon=[19],25.0,39.6,72.1,-61.4,44.6
138,[38]_forecast_horizon=[27],24.7,-87.6,33.4,-61.4,44.6
139,[39]_forecast_horizon=[24],24.5,-71.8,36.5,-61.4,43.2
140,[40]_forecast_horizon=[15],24.2,-11.9,59.3,-60.5,44.6
141,[41]_forecast_horizon=[19],24.0,21.1,50.8,-60.5,44.6
142,[42]_forecast_horizon=[11],23.8,-30.0,81.0,-60.5,46.3
143,[43]_forecast_horizon=[15],23.5,-27.7,29.4,-59.7,46.3
144,[44]_forecast_horizon=[19],23.3,30.2,59.9,-58.6,47.0
145,[45]_forecast_horizon=[27],23.1,-250.2,49.0,-58.6,47.3
146,[46]_forecast_horizon=[17],22.8,11.3,62.1,-55.2,48.1
147,[47]_forecast_horizon=[28],22.6,-290.6,28.8,-55.2,48.1
148,[48]_forecast_horizon=[14],22.4,50.0,69.3,-55.2,48.1
149,[49]_forecast_horizon=[17],22.1,52.8,67.4,-55.2,48.1
150,[50]_forecast_horizon=[16],21.9,21.3,58.6,-52.0,48.1
151,[51]_forecast_horizon=[28],21.7,18.0,82.8,-52.0,48.9
152,[52]_forecast_horizon=[20],21.5,-37.2,53.5,-50.8,49.0
153,[53]_forecast_horizon=[26],21.3,41.9,93.2,-50.8,49.0
154,[54]_forecast_horizon=[22],21.1,55.2,85.5,-50.8,49.0
155,[55]_forecast_horizon=[20],20.8,22.0,52.6,-50.8,49.0
156,[56]_forecast_horizon=[15],20.6,39.3,84.0,-50.8,49.2
157,[57]_forecast_horizon=[22],20.4,-154.7,15.7,-50.8,49.2
158,[58]_forecast_horizon=[28],20.2,-73.9,47.1,-50.8,49.2
159,[59]_forecast_horizon=[21],20.0,2.7,40.4,-49.3,49.0
160,[60]_forecast_horizon=[10],19.8,-167.9,24.9,-49.3,49.0
161,[61]_forecast_horizon=[11],19.6,-59.6,51.2,-50.8,49.2
162,[62]_forecast_horizon=[18],19.4,-268.6,12.5,-50.8,49.2
163,[63]_forecast_horizon=[24],19.2,-2.3,58.5,-49.3,49.6
164,[64]_forecast_horizon=[26],19.0,-325.2,-14.0,-49.3,49.6
165,[65]_forecast_horizon=[13],18.9,21.8,61.1,-44.2,50.0
166,[66]_forecast_horizon=[27],18.7,-91.8,64.2,-44.2,50.5
167,[67]_forecast_horizon=[12],18.5,13.4,45.3,-37.8,50.5
168,[68]_forecast_horizon=[13],18.3,5.9,50.2,-37.5,50.5
169,[69]_forecast_horizon=[12],18.1,5.7,53.4,-37.3,50.5
170,[70]_forecast_horizon=[29],17.9,-47.3,11.6,-37.3,50.5
171,[71]_forecast_horizon=[17],17.8,25.1,65.3,-36.9,51.0
172,[72]_forecast_horizon=[27],17.6,31.1,84.1,-35.6,51.0
173,[73]_forecast_horizon=[12],17.4,45.1,39.2,-32.3,51.0
174,[74]_forecast_horizon=[23],17.2,-33.1,55.9,-31.5,51.2
175,[75]_forecast_horizon=[26],17.1,18.9,68.1,-29.2,51.2
176,[76]_forecast_horizon=[29],16.9,-212.6,23.3,-29.2,51.2
177,[77]_forecast_horizon=[18],16.7,-65.0,6.2,-29.2,51.2
178,[78]_forecast_horizon=[21],16.5,39.5,65.0,-29.2,51.4
179,[79]_forecast_horizon=[10],16.4,56.7,12.9,-28.0,51.4
180,[80]_forecast_horizon=[11],16.2,23.1,39.8,-28.0,51.4
181,[81]_forecast_horizon=[14],16.1,-0.6,44.0,-26.3,51.4
182,[82]_forecast_horizon=[26],15.9,-1.4,43.8,-24.5,51.4
183,[83]_forecast_horizon=[18],15.7,23.0,47.2,-23.8,51.4
184,[84]_forecast_horizon=[29],15.6,10.3,50.6,-20.1,51.4
185,[85]_forecast_horizon=[11],15.4,43.0,34.3,-16.4,51.4
186,[86]_forecast_horizon=[25],15.3,-80.8,61.6,-16.4,52.1
187,[87]_forecast_horizon=[23],15.1,15.0,88.4,-14.1,52.1
188,[88]_forecast_horizon=[19],15.0,22.0,16.4,-10.6,52.1
189,[89]_forecast_horizon=[25],14.8,52.0,65.2,-10.6,52.1
190,[90]_forecast_horizon=[25],14.7,25.3,42.6,-5.8,52.1
191,[91]_forecast_horizon=[14],14.5,-31.1,42.8,-5.8,52.1
192,[92]_forecast_horizon=[20],14.4,15.4,75.7,-1.8,52.1
193,[93]_forecast_horizon=[15],14.2,76.8,57.5,-1.8,52.1
194,[94]_forecast_horizon=[13],14.1,24.0,48.2,-1.0,51.9
195,[95]_forecast_horizon=[27],13.9,31.8,67.2,-1.0,51.9
196,[96]_forecast_horizon=[29],13.8,61.4,55.4,-1.0,52.6
197,[97]_forecast_horizon=[15],13.7,-41.1,-7.1,-1.0,52.6
198,[98]_forecast_horizon=[13],13.5,50.5,58.1,-1.0,52.6
199,[99]_forecast_horizon=[27],13.4,-32.8,79.7,-1.0,52.6
