episode,game,exploration,explored,safe,MA_explored,MA_safe
0,[0]_forecast_horizon=[10],99.0,-230.6,-37.9,-230.6,-37.9
1,[1]_forecast_horizon=[23],98.0,-382.2,-86.7,-306.4,-62.3
2,[2]_forecast_horizon=[23],97.0,-199.4,2.4,-230.6,-37.9
3,[3]_forecast_horizon=[29],96.1,-284.2,-10.5,-257.4,-24.2
4,[4]_forecast_horizon=[25],95.1,-292.1,0.0,-284.2,-10.5
5,[5]_forecast_horizon=[26],94.1,-500.3,0.0,-288.2,-5.3
6,[6]_forecast_horizon=[29],93.2,-355.2,0.0,-292.1,0.0
7,[7]_forecast_horizon=[10],92.3,-79.1,0.0,-288.2,0.0
8,[8]_forecast_horizon=[23],91.4,-401.6,0.0,-292.1,0.0
9,[9]_forecast_horizon=[15],90.4,-488.0,0.0,-323.6,0.0
10,[10]_forecast_horizon=[18],89.5,-92.1,0.0,-292.1,0.0
11,[11]_forecast_horizon=[13],88.6,-52.9,0.0,-288.2,0.0
12,[12]_forecast_horizon=[10],87.8,-62.7,25.6,-284.2,0.0
13,[13]_forecast_horizon=[22],86.9,-30.5,-4.4,-257.4,0.0
14,[14]_forecast_horizon=[12],86.0,-156.9,0.0,-230.6,0.0
15,[15]_forecast_horizon=[27],85.1,-158.7,12.8,-215.0,0.0
16,[16]_forecast_horizon=[14],84.3,-5.1,-1.7,-199.4,0.0
17,[17]_forecast_horizon=[18],83.5,-178.8,-1.1,-189.1,0.0
18,[18]_forecast_horizon=[17],82.6,-94.4,-7.1,-178.8,0.0
19,[19]_forecast_horizon=[18],81.8,-116.1,-5.8,-168.7,0.0
20,[20]_forecast_horizon=[25],81.0,-79.0,5.8,-158.7,0.0
21,[21]_forecast_horizon=[18],80.2,-225.7,46.1,-168.7,0.0
22,[22]_forecast_horizon=[11],79.4,-247.9,0.0,-178.8,0.0
23,[23]_forecast_horizon=[15],78.6,-101.2,37.1,-168.7,0.0
24,[24]_forecast_horizon=[18],77.8,-39.3,60.1,-158.7,0.0
25,[25]_forecast_horizon=[12],77.0,-76.4,-2.6,-157.8,0.0
26,[26]_forecast_horizon=[12],76.2,-130.8,36.2,-156.9,0.0
27,[27]_forecast_horizon=[25],75.5,-152.2,77.1,-154.6,0.0
28,[28]_forecast_horizon=[28],74.7,-147.7,50.3,-152.2,0.0
29,[29]_forecast_horizon=[23],74.0,-424.2,-13.9,-154.6,0.0
30,[30]_forecast_horizon=[28],73.2,-685.5,-24.5,-156.9,0.0
31,[31]_forecast_horizon=[14],72.5,-74.6,24.4,-154.6,0.0
32,[32]_forecast_horizon=[15],71.8,-186.3,27.9,-156.9,0.0
33,[33]_forecast_horizon=[10],71.1,-58.2,22.8,-154.6,0.0
34,[34]_forecast_horizon=[18],70.3,-157.4,44.2,-156.9,0.0
35,[35]_forecast_horizon=[22],69.6,-79.9,42.3,-154.6,0.0
